Subscriber ID,Show,Episodes Watched,Episode Length (m)
1964,Mad Men,0.18,45
1964,Lorax,0.07,30
1963,Walking Dead,3.08,40
1963,Lost,1.22,45
1963,Pony,0.27,30
1963,Weeds,0.23,30
1963,Lorax,0.2,30
1963,Mad Men,0.31,45
1962,Walking Dead,2.62,40
1962,Lost,0.8,45
1962,Mad Men,0.53,45
1962,Weeds,0.27,30
1962,Pony,0.13,30
1962,Lorax,0.13,30
1961,Walking Dead,3.1,40
1961,Lost,1.27,45
1961,Weeds,0.2,30
1961,Mad Men,0.36,45
1961,Pony,0.17,30
1961,Lorax,0.1,30
1960,Walking Dead,2.88,40
1960,Lost,1.09,45
1960,Weeds,0.1,30
1960,Mad Men,0.13,45
1960,Lorax,0.07,30
1960,Pony,0.03,30
1959,Walking Dead,2.9,40
1959,Lost,0.93,45
1959,Pony,0.27,30
1959,Lorax,0.2,30
1959,Mad Men,0,45
1959,Weeds,0,30
1958,Walking Dead,2.98,40
1958,Lost,1.18,45
1958,Weeds,0.13,30
1958,Pony,0.13,30
1958,Mad Men,0.22,45
1958,Lorax,0.1,30
1957,Walking Dead,3.48,40
1957,Lost,1.56,45
1957,Lorax,0.1,30
1957,Weeds,0.07,30
1957,Pony,0.07,30
1957,Mad Men,0,45
1956,Walking Dead,2.63,40
1956,Lost,0.78,45
1956,Weeds,0.27,30
1956,Mad Men,0.4,45
1956,Pony,0,30
1956,Lorax,0,30
1955,Walking Dead,2.95,40
1955,Lost,1.02,45
1955,Weeds,0.27,30
1955,Lorax,0.27,30
1955,Mad Men,0.4,45
1955,Pony,0.2,30
1954,Walking Dead,3.08,40
1954,Lost,1.36,45
1954,Pony,0.1,30
1954,Weeds,0.07,30
1954,Lorax,0.07,30
1954,Mad Men,0.09,45
1953,Walking Dead,2.93,40
1953,Lost,0.98,45
1953,Pony,0.17,30
1953,Weeds,0.1,30
1953,Mad Men,0.18,45
1953,Lorax,0.07,30
1952,Walking Dead,3.13,40
1952,Lost,1.36,45
1952,Weeds,0.2,30
1952,Mad Men,0.36,45
1952,Lorax,0.1,30
1952,Pony,0.07,30
1951,Walking Dead,2.8,40
1951,Lost,0.96,45
1951,Weeds,0.27,30
1951,Mad Men,0.49,45
1951,Pony,0.23,30
1951,Lorax,0.1,30
1950,Walking Dead,2.72,40
1950,Lost,0.8,45
1950,Weeds,0.1,30
1950,Mad Men,0.13,45
1950,Pony,0.07,30
1950,Lorax,0.07,30
1949,Walking Dead,2.62,40
1949,Lost,0.64,45
1949,Lorax,0.23,30
1949,Weeds,0.17,30
1949,Pony,0.17,30
1949,Mad Men,0.31,45
1948,Walking Dead,3.08,40
1948,Lost,1.38,45
1948,Mad Men,0.53,45
1948,Weeds,0.23,30
1948,Pony,0.17,30
1948,Lorax,0.17,30
1947,Walking Dead,3.15,40
1947,Lost,1.38,45
1947,Mad Men,0.27,45
1947,Weeds,0.13,30
1947,Lorax,0.13,30
1947,Pony,0.1,30
1946,Walking Dead,3.15,40
1946,Lost,1.13,45
1946,Pony,0.17,30
1946,Lorax,0.13,30
1946,Weeds,0.07,30
1946,Mad Men,0,45
1945,Walking Dead,3.07,40
1945,Lost,1.16,45
1945,Weeds,0.1,30
1945,Pony,0.1,30
1945,Mad Men,0.09,45
1945,Lorax,0.03,30
1944,Walking Dead,3.15,40
1944,Lost,1.27,45
1944,Weeds,0.13,30
1944,Lorax,0.1,30
1944,Mad Men,0.13,45
1944,Pony,0.03,30
1943,Walking Dead,3.23,40
1943,Lost,1.38,45
1943,Weeds,0.2,30
1943,Lorax,0.2,30
1943,Pony,0.17,30
1943,Mad Men,0.31,45
1942,Walking Dead,2.68,40
1942,Lost,0.84,45
1942,Weeds,0.4,30
1942,Mad Men,0.71,45
1942,Pony,0.1,30
1942,Lorax,0.03,30
1941,Walking Dead,3.08,40
1941,Lost,1.22,45
1941,Weeds,0.33,30
1941,Mad Men,0.53,45
1941,Lorax,0.17,30
1941,Pony,0.13,30
1940,Walking Dead,3.03,40
1940,Lost,1.22,45
1940,Pony,0.3,30
1940,Lorax,0.23,30
1940,Mad Men,0.09,45
1940,Weeds,0.03,30
1939,Walking Dead,3.23,40
1939,Lost,1.47,45
1939,Weeds,0.23,30
1939,Mad Men,0.44,45
1939,Pony,0.1,30
1939,Lorax,0.07,30
1938,Walking Dead,2.63,40
1938,Lost,0.69,45
1938,Mad Men,0.13,45
1938,Weeds,0.07,30
1938,Pony,0.03,30
1938,Lorax,0.03,30
1937,Walking Dead,3.17,40
1937,Lost,1.38,45
1937,Lorax,0.2,30
1937,Weeds,0.17,30
1937,Pony,0.13,30
1937,Mad Men,0.22,45
1936,Walking Dead,3.25,40
1936,Lost,1.47,45
1936,Weeds,0.33,30
1936,Mad Men,0.49,45
1936,Lorax,0.13,30
1936,Pony,0.07,30
1935,Walking Dead,3.02,40
1935,Lost,1.13,45
1935,Lorax,0.17,30
1935,Pony,0.13,30
1935,Mad Men,0,45
1935,Weeds,0,30
1934,Walking Dead,3,40
1934,Lost,1.13,45
1934,Weeds,0.33,30
1934,Mad Men,0.62,45
1934,Pony,0.17,30
1934,Lorax,0.17,30
1933,Walking Dead,2.92,40
1933,Lost,1.07,45
1933,Pony,0.13,30
1933,Lorax,0.1,30
1933,Weeds,0.07,30
1933,Mad Men,0.09,45
1932,Walking Dead,2.7,40
1932,Lost,0.71,45
1932,Pony,0.17,30
1932,Lorax,0.13,30
1932,Weeds,0.07,30
1932,Mad Men,0,45
1931,Walking Dead,3.33,40
1931,Lost,1.53,45
1931,Weeds,0.13,30
1931,Pony,0.1,30
1931,Lorax,0.07,30
1931,Mad Men,0,45
1930,Walking Dead,2.92,40
1930,Lost,1.04,45
1930,Weeds,0.27,30
1930,Mad Men,0.49,45
1930,Lorax,0.23,30
1930,Pony,0.1,30
1929,Walking Dead,3.3,40
1929,Lost,1.49,45
1929,Pony,0.3,30
1929,Lorax,0.17,30
1929,Mad Men,0.13,45
1929,Weeds,0.07,30
1928,Walking Dead,2.85,40
1928,Lost,1,45
1928,Weeds,0.2,30
1928,Pony,0.1,30
1928,Lorax,0.1,30
1928,Mad Men,0.09,45
1927,Walking Dead,3.08,40
1927,Lost,1.11,45
1927,Weeds,0.2,30
1927,Pony,0.13,30
1927,Mad Men,0.18,45
1927,Lorax,0.07,30
1926,Walking Dead,2.75,40
1926,Lost,1,45
1926,Mad Men,0.76,45
1926,Weeds,0.37,30
1926,Pony,0.23,30
1926,Lorax,0.13,30
1925,Walking Dead,3.1,40
1925,Lost,1.13,45
1925,Weeds,0.13,30
1925,Mad Men,0.13,45
1925,Pony,0.07,30
1925,Lorax,0.07,30
1924,Walking Dead,3.3,40
1924,Lost,1.42,45
1924,Pony,0.17,30
1924,Lorax,0.13,30
1924,Weeds,0.03,30
1924,Mad Men,0,45
1923,Walking Dead,2.93,40
1923,Lost,0.96,45
1923,Weeds,0.3,30
1923,Mad Men,0.4,45
1923,Pony,0.03,30
1923,Lorax,0,30
1922,Walking Dead,2.62,40
1922,Lost,0.89,45
1922,Weeds,0.4,30
1922,Mad Men,0.67,45
1922,Pony,0.17,30
1922,Lorax,0.13,30
1921,Walking Dead,2.92,40
1921,Lost,1.2,45
1921,Mad Men,0.44,45
1921,Weeds,0.2,30
1921,Lorax,0.03,30
1921,Pony,0,30
1920,Walking Dead,2.9,40
1920,Lost,1.13,45
1920,Mad Men,0.67,45
1920,Weeds,0.3,30
1920,Pony,0.27,30
1920,Lorax,0.13,30
1919,Walking Dead,2.7,40
1919,Lost,0.91,45
1919,Weeds,0.23,30
1919,Mad Men,0.4,45
1919,Lorax,0.1,30
1919,Pony,0.07,30
1918,Walking Dead,3.15,40
1918,Lost,1.2,45
1918,Lorax,0.2,30
1918,Pony,0.17,30
1918,Weeds,0.13,30
1918,Mad Men,0,45
1917,Walking Dead,3.03,40
1917,Lost,1.16,45
1917,Mad Men,0.4,45
1917,Weeds,0.2,30
1917,Pony,0,30
1917,Lorax,0,30
1916,Walking Dead,2.95,40
1916,Lost,1.13,45
1916,Weeds,0.27,30
1916,Pony,0.23,30
1916,Lorax,0.13,30
1916,Mad Men,0.22,45
1915,Walking Dead,3.7,40
1915,Lost,2,45
1915,Weeds,0.27,30
1915,Mad Men,0.36,45
1915,Pony,0.17,30
1915,Lorax,0.17,30
1914,Walking Dead,3.28,40
1914,Lost,1.4,45
1914,Mad Men,0.53,45
1914,Weeds,0.23,30
1914,Pony,0.13,30
1914,Lorax,0.07,30
1913,Walking Dead,2.8,40
1913,Lost,1.02,45
1913,Weeds,0.3,30
1913,Pony,0.27,30
1913,Mad Men,0.4,45
1913,Lorax,0.2,30
1912,Walking Dead,2.75,40
1912,Lost,0.8,45
1912,Weeds,0.27,30
1912,Mad Men,0.49,45
1912,Lorax,0.17,30
1912,Pony,0.1,30
1911,Walking Dead,3.2,40
1911,Lost,1.33,45
1911,Weeds,0.13,30
1911,Mad Men,0.22,45
1911,Pony,0.1,30
1911,Lorax,0.03,30
1910,Walking Dead,3.17,40
1910,Lost,1.58,45
1910,Weeds,0.3,30
1910,Mad Men,0.58,45
1910,Pony,0.13,30
1910,Lorax,0.13,30
1909,Walking Dead,3.2,40
1909,Lost,1.27,45
1909,Pony,0.27,30
1909,Weeds,0.2,30
1909,Mad Men,0.36,45
1909,Lorax,0.17,30
1908,Walking Dead,2.88,40
1908,Lost,1.07,45
1908,Weeds,0.37,30
1908,Mad Men,0.36,45
1908,Lorax,0.17,30
1908,Pony,0.1,30
1907,Walking Dead,2.68,40
1907,Lost,0.8,45
1907,Mad Men,0.4,45
1907,Weeds,0.2,30
1907,Pony,0.13,30
1907,Lorax,0.1,30
1906,Walking Dead,2.67,40
1906,Lost,0.96,45
1906,Mad Men,0.31,45
1906,Weeds,0.13,30
1906,Lorax,0.1,30
1906,Pony,0.03,30
1905,Walking Dead,3.72,40
1905,Lost,1.82,45
1905,Weeds,0.2,30
1905,Mad Men,0.31,45
1905,Pony,0.1,30
1905,Lorax,0.07,30
1904,Walking Dead,2.62,40
1904,Lost,0.71,45
1904,Lorax,0.07,30
1904,Pony,0.03,30
1904,Mad Men,0,45
1904,Weeds,0,30
1903,Walking Dead,3.38,40
1903,Lost,1.44,45
1903,Weeds,0.17,30
1903,Mad Men,0.27,45
1903,Lorax,0.07,30
1903,Pony,0.03,30
1902,Walking Dead,2.85,40
1902,Lost,0.89,45
1902,Pony,0.13,30
1902,Lorax,0.13,30
1902,Weeds,0.03,30
1902,Mad Men,0,45
1901,Walking Dead,2.97,40
1901,Lost,1.2,45
1901,Weeds,0.23,30
1901,Mad Men,0.27,45
1901,Pony,0.1,30
1901,Lorax,0.1,30
1900,Walking Dead,3.2,40
1900,Lost,1.33,45
1900,Weeds,0.3,30
1900,Mad Men,0.4,45
1900,Pony,0.2,30
1900,Lorax,0.13,30
1899,Walking Dead,3.37,40
1899,Lost,1.6,45
1899,Mad Men,0.44,45
1899,Weeds,0.2,30
1899,Pony,0.2,30
1899,Lorax,0.17,30
1898,Walking Dead,2.93,40
1898,Lost,1.13,45
1898,Pony,0.17,30
1898,Lorax,0.17,30
1898,Weeds,0.13,30
1898,Mad Men,0.13,45
1897,Walking Dead,2.63,40
1897,Lost,0.98,45
1897,Weeds,0.23,30
1897,Mad Men,0.31,45
1897,Lorax,0.13,30
1897,Pony,0.07,30
1896,Walking Dead,3.02,40
1896,Lost,1.29,45
1896,Weeds,0.27,30
1896,Mad Men,0.44,45
1896,Pony,0.1,30
1896,Lorax,0.07,30
1895,Walking Dead,2.97,40
1895,Lost,1.09,45
1895,Pony,0.27,30
1895,Weeds,0.23,30
1895,Mad Men,0.44,45
1895,Lorax,0.2,30
1894,Walking Dead,2.68,40
1894,Lost,0.71,45
1894,Lorax,0.17,30
1894,Pony,0.13,30
1894,Weeds,0.07,30
1894,Mad Men,0.04,45
1893,Walking Dead,2.55,40
1893,Lost,0.62,45
1893,Pony,0.2,30
1893,Lorax,0.13,30
1893,Weeds,0.1,30
1893,Mad Men,0.18,45
1892,Walking Dead,2.83,40
1892,Lost,1,45
1892,Weeds,0.27,30
1892,Mad Men,0.4,45
1892,Lorax,0.2,30
1892,Pony,0.17,30
1891,Walking Dead,2.87,40
1891,Lost,1.04,45
1891,Weeds,0.3,30
1891,Mad Men,0.58,45
1891,Lorax,0.1,30
1891,Pony,0.07,30
1890,Walking Dead,2.78,40
1890,Lost,0.91,45
1890,Weeds,0.13,30
1890,Lorax,0.13,30
1890,Pony,0.1,30
1890,Mad Men,0.18,45
1889,Walking Dead,2.57,40
1889,Lost,0.87,45
1889,Weeds,0.37,30
1889,Mad Men,0.58,45
1889,Pony,0.23,30
1889,Lorax,0.13,30
1888,Walking Dead,2.9,40
1888,Lost,0.98,45
1888,Weeds,0.17,30
1888,Pony,0.13,30
1888,Lorax,0.13,30
1888,Mad Men,0.22,45
1887,Walking Dead,3.32,40
1887,Lost,1.49,45
1887,Weeds,0.23,30
1887,Pony,0.2,30
1887,Mad Men,0.22,45
1887,Lorax,0.1,30
1886,Walking Dead,3.1,40
1886,Lost,1.27,45
1886,Weeds,0.23,30
1886,Mad Men,0.4,45
1886,Lorax,0.1,30
1886,Pony,0.03,30
1885,Walking Dead,3.13,40
1885,Lost,1.27,45
1885,Lorax,0.13,30
1885,Weeds,0.1,30
1885,Mad Men,0.13,45
1885,Pony,0.07,30
1884,Walking Dead,3.55,40
1884,Lost,1.71,45
1884,Pony,0.2,30
1884,Weeds,0.17,30
1884,Mad Men,0.27,45
1884,Lorax,0.1,30
1883,Walking Dead,3.18,40
1883,Lost,1.42,45
1883,Weeds,0.1,30
1883,Pony,0.1,30
1883,Mad Men,0.09,45
1883,Lorax,0.03,30
1882,Walking Dead,2.65,40
1882,Lost,0.84,45
1882,Mad Men,0.67,45
1882,Weeds,0.33,30
1882,Pony,0.17,30
1882,Lorax,0.17,30
1881,Walking Dead,2.97,40
1881,Lost,1.09,45
1881,Pony,0.13,30
1881,Lorax,0.07,30
1881,Weeds,0.03,30
1881,Mad Men,0.04,45
1880,Walking Dead,3.37,40
1880,Lost,1.44,45
1880,Weeds,0.1,30
1880,Pony,0.07,30
1880,Lorax,0.07,30
1880,Mad Men,0,45
1879,Walking Dead,3.4,40
1879,Lost,1.47,45
1879,Weeds,0.23,30
1879,Mad Men,0.44,45
1879,Pony,0.17,30
1879,Lorax,0.17,30
1878,Walking Dead,2.85,40
1878,Lost,1.2,45
1878,Weeds,0.3,30
1878,Mad Men,0.49,45
1878,Pony,0.2,30
1878,Lorax,0.13,30
1877,Walking Dead,2.78,40
1877,Lost,1.04,45
1877,Lorax,0.23,30
1877,Pony,0.2,30
1877,Weeds,0.07,30
1877,Mad Men,0,45
1876,Walking Dead,2.82,40
1876,Lost,0.96,45
1876,Weeds,0.27,30
1876,Mad Men,0.44,45
1876,Pony,0.13,30
1876,Lorax,0.13,30
1875,Walking Dead,3.03,40
1875,Lost,1.11,45
1875,Weeds,0.47,30
1875,Mad Men,0.84,45
1875,Pony,0.13,30
1875,Lorax,0.13,30
1874,Walking Dead,3.5,40
1874,Lost,1.6,45
1874,Lorax,0.23,30
1874,Pony,0.17,30
1874,Weeds,0.1,30
1874,Mad Men,0,45
1873,Walking Dead,2.93,40
1873,Lost,1,45
1873,Weeds,0.33,30
1873,Mad Men,0.49,45
1873,Pony,0.13,30
1873,Lorax,0.1,30
1872,Walking Dead,3.13,40
1872,Lost,1.29,45
1872,Weeds,0.2,30
1872,Pony,0.13,30
1872,Mad Men,0.22,45
1872,Lorax,0.1,30
1871,Walking Dead,2.52,40
1871,Lost,0.67,45
1871,Pony,0.2,30
1871,Weeds,0.17,30
1871,Mad Men,0.31,45
1871,Lorax,0.13,30
1870,Walking Dead,2.87,40
1870,Lost,0.96,45
1870,Pony,0.2,30
1870,Weeds,0.13,30
1870,Lorax,0.13,30
1870,Mad Men,0.04,45
1869,Walking Dead,3.5,40
1869,Lost,1.56,45
1869,Pony,0.3,30
1869,Lorax,0.23,30
1869,Weeds,0.03,30
1869,Mad Men,0,45
1868,Walking Dead,2.82,40
1868,Lost,0.96,45
1868,Weeds,0.23,30
1868,Pony,0.23,30
1868,Mad Men,0.44,45
1868,Lorax,0.2,30
1867,Walking Dead,2.98,40
1867,Lost,1.09,45
1867,Pony,0.07,30
1867,Lorax,0.07,30
1867,Mad Men,0,45
1867,Weeds,0,30
1866,Walking Dead,2.93,40
1866,Lost,0.91,45
1866,Pony,0.13,30
1866,Weeds,0.1,30
1866,Lorax,0.1,30
1866,Mad Men,0,45
1865,Walking Dead,2.93,40
1865,Lost,1.04,45
1865,Weeds,0.2,30
1865,Mad Men,0.27,45
1865,Lorax,0.07,30
1865,Pony,0.03,30
1864,Walking Dead,3.03,40
1864,Lost,1.22,45
1864,Weeds,0.2,30
1864,Mad Men,0.31,45
1864,Lorax,0.13,30
1864,Pony,0.1,30
1863,Walking Dead,2.85,40
1863,Lost,1,45
1863,Lorax,0.17,30
1863,Mad Men,0.27,45
1863,Weeds,0.13,30
1863,Pony,0.07,30
1862,Walking Dead,2.88,40
1862,Lost,0.96,45
1862,Weeds,0.2,30
1862,Pony,0.13,30
1862,Lorax,0.1,30
1862,Mad Men,0.13,45
1861,Walking Dead,2.87,40
1861,Lost,0.91,45
1861,Mad Men,0.31,45
1861,Weeds,0.13,30
1861,Lorax,0.13,30
1861,Pony,0.1,30
1860,Walking Dead,2.78,40
1860,Lost,1.13,45
1860,Weeds,0.3,30
1860,Mad Men,0.53,45
1860,Pony,0.1,30
1860,Lorax,0.1,30
1859,Walking Dead,3.25,40
1859,Lost,1.51,45
1859,Mad Men,0.58,45
1859,Weeds,0.27,30
1859,Lorax,0.17,30
1859,Pony,0.1,30
1858,Walking Dead,3.05,40
1858,Lost,1.22,45
1858,Pony,0.23,30
1858,Weeds,0.2,30
1858,Lorax,0.2,30
1858,Mad Men,0.27,45
1857,Walking Dead,3.02,40
1857,Lost,1.16,45
1857,Weeds,0.37,30
1857,Mad Men,0.62,45
1857,Lorax,0.1,30
1857,Pony,0.07,30
1856,Walking Dead,2.88,40
1856,Lost,0.91,45
1856,Weeds,0.17,30
1856,Mad Men,0.31,45
1856,Pony,0.1,30
1856,Lorax,0.07,30
1855,Walking Dead,2.92,40
1855,Lost,1.09,45
1855,Lorax,0.2,30
1855,Weeds,0.17,30
1855,Pony,0.17,30
1855,Mad Men,0.22,45
1854,Walking Dead,2.75,40
1854,Lost,0.78,45
1854,Weeds,0.23,30
1854,Mad Men,0.27,45
1854,Pony,0.1,30
1854,Lorax,0.07,30
1853,Walking Dead,2.75,40
1853,Lost,1.09,45
1853,Pony,0.47,30
1853,Lorax,0.23,30
1853,Mad Men,0.27,45
1853,Weeds,0.13,30
1852,Walking Dead,3.1,40
1852,Lost,1.24,45
1852,Weeds,0.3,30
1852,Mad Men,0.53,45
1852,Lorax,0.13,30
1852,Pony,0.1,30
1851,Walking Dead,2.97,40
1851,Lost,1.29,45
1851,Weeds,0.2,30
1851,Mad Men,0.27,45
1851,Pony,0.03,30
1851,Lorax,0.03,30
1850,Walking Dead,3.45,40
1850,Lost,1.58,45
1850,Pony,0.27,30
1850,Lorax,0.17,30
1850,Weeds,0.07,30
1850,Mad Men,0,45
1849,Walking Dead,2.98,40
1849,Lost,1.13,45
1849,Mad Men,0.89,45
1849,Weeds,0.4,30
1849,Pony,0.1,30
1849,Lorax,0.1,30
1848,Walking Dead,2.82,40
1848,Lost,1.04,45
1848,Pony,0.27,30
1848,Lorax,0.17,30
1848,Weeds,0.13,30
1848,Mad Men,0.13,45
1847,Walking Dead,2.88,40
1847,Lost,1.04,45
1847,Mad Men,0.89,45
1847,Weeds,0.4,30
1847,Pony,0.3,30
1847,Lorax,0.2,30
1846,Walking Dead,2.92,40
1846,Lost,1.16,45
1846,Pony,0.23,30
1846,Mad Men,0.31,45
1846,Weeds,0.13,30
1846,Lorax,0.1,30
1845,Walking Dead,3,40
1845,Lost,1.11,45
1845,Weeds,0.17,30
1845,Mad Men,0.22,45
1845,Pony,0.1,30
1845,Lorax,0.07,30
1844,Walking Dead,2.93,40
1844,Lost,1.09,45
1844,Weeds,0.27,30
1844,Mad Men,0.44,45
1844,Pony,0.2,30
1844,Lorax,0.17,30
1843,Walking Dead,3.47,40
1843,Lost,1.56,45
1843,Lorax,0.1,30
1843,Weeds,0.07,30
1843,Pony,0.07,30
1843,Mad Men,0,45
1842,Walking Dead,3.32,40
1842,Lost,1.49,45
1842,Lorax,0.1,30
1842,Mad Men,0.13,45
1842,Weeds,0.07,30
1842,Pony,0.03,30
1841,Walking Dead,2.97,40
1841,Lost,1.02,45
1841,Weeds,0.33,30
1841,Mad Men,0.53,45
1841,Pony,0.07,30
1841,Lorax,0.07,30
1840,Walking Dead,3.02,40
1840,Lost,1.29,45
1840,Weeds,0.3,30
1840,Mad Men,0.58,45
1840,Lorax,0.23,30
1840,Pony,0.2,30
1839,Walking Dead,2.88,40
1839,Lost,0.98,45
1839,Pony,0.27,30
1839,Weeds,0.13,30
1839,Lorax,0.13,30
1839,Mad Men,0,45
1838,Walking Dead,3.33,40
1838,Lost,1.49,45
1838,Pony,0.17,30
1838,Lorax,0.13,30
1838,Mad Men,0.13,45
1838,Weeds,0.07,30
1837,Walking Dead,2.57,40
1837,Lost,0.62,45
1837,Mad Men,0.71,45
1837,Weeds,0.33,30
1837,Pony,0.17,30
1837,Lorax,0.13,30
1836,Walking Dead,2.58,40
1836,Lost,0.6,45
1836,Weeds,0.2,30
1836,Pony,0.13,30
1836,Mad Men,0.22,45
1836,Lorax,0.1,30
1835,Walking Dead,2.7,40
